model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.5654569268226624
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.5665498971939087
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.5470601916313171
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.633638858795166
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.637697696685791
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6378604173660278
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.5094650983810425
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.5386798977851868
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.5121805667877197
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.5173570513725281
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.518161416053772
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.5002202391624451
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.4955909848213196
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.5214431881904602
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.48880845308303833
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.48575103282928467
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.5593281388282776
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.5537977814674377
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.5271545648574829
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.6005942821502686
llama3-1_8B,svamp,mathematical,AP,probas-min,0.5902211666107178
llama3-1_8B,svamp,mathematical,AP,token-sar,0.6057829856872559
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.49486789107322693
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.5465052127838135
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.5265238285064697
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.4502298831939697
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.4455525279045105
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.5279655456542969
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.520029604434967
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.5141661763191223
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.5379635691642761
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.493587464094162
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean-bl,0.5267280340194702
llama3-1_8B,hotpotQA,mathematical,AP,probas-min-bl,0.5327795147895813
llama3-1_8B,hotpotQA,mathematical,AP,token-sar-bl,0.49622291326522827
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean,0.62073814868927
llama3-1_8B,hotpotQA,mathematical,AP,probas-min,0.6383735537528992
llama3-1_8B,hotpotQA,mathematical,AP,token-sar,0.6115474104881287
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.5372499823570251
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.5368252992630005
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.5748929977416992
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.6024781465530396
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.602794885635376
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.54646235704422
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.5380512475967407
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.5196269154548645
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allkeywords,0.5297760963439941
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keykeywords,0.5293616056442261
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.5819783210754395
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.5790134072303772
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5590808987617493
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.6245904564857483
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.621722936630249
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.6394251585006714
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.4386953115463257
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.4721706807613373
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.48428404331207275
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.43166089057922363
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4289282560348511
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.5295408368110657
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.526130735874176
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.5026906132698059
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.5069098472595215
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5120730996131897
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.5325026512145996
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.5292208194732666
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.49285659193992615
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.7430793046951294
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.6974810361862183
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.7499980926513672
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.5778524279594421
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.5887787342071533
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.6565845012664795
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.522676944732666
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.5275404453277588
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.45715489983558655
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.5614710450172424
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.4053124785423279
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.5447423458099365
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.5521107316017151
