model_engine,dataset,reasoning_type,strategy,UQ_method,AUROC
llama3-1_8B,ASDiv,mathematical,AP,probas-mean-bl,0.5961341857910156
llama3-1_8B,ASDiv,mathematical,AP,probas-min-bl,0.5959288477897644
llama3-1_8B,ASDiv,mathematical,AP,token-sar-bl,0.5606115460395813
llama3-1_8B,ASDiv,mathematical,AP,probas-mean,0.6406843662261963
llama3-1_8B,ASDiv,mathematical,AP,probas-min,0.6381922364234924
llama3-1_8B,ASDiv,mathematical,AP,token-sar,0.656636655330658
llama3-1_8B,ASDiv,mathematical,SE,p-true-bl,0.4605404734611511
llama3-1_8B,ASDiv,mathematical,SE,p-true-allsteps,0.5116977691650391
llama3-1_8B,ASDiv,mathematical,SE,p-true-keystep,0.5071883201599121
llama3-1_8B,ASDiv,mathematical,SE,p-true-allkeywords,0.4608951508998871
llama3-1_8B,ASDiv,mathematical,SE,p-true-keykeywords,0.4603346586227417
llama3-1_8B,ASDiv,mathematical,SE,self-probing-bl,0.4978100061416626
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allsteps,0.527681827545166
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keystep,0.5198826193809509
llama3-1_8B,ASDiv,mathematical,SE,self-probing-allkeywords,0.503917932510376
llama3-1_8B,ASDiv,mathematical,SE,self-probing-keykeywords,0.5122697949409485
llama3-1_8B,2WikimhQA,logical,AP,probas-mean-bl,0.5079629421234131
llama3-1_8B,gsm8k,mathematical,AP,probas-mean-bl,0.5809041857719421
llama3-1_8B,gsm8k,mathematical,AP,probas-min-bl,0.584997296333313
llama3-1_8B,gsm8k,mathematical,AP,token-sar-bl,0.5508878231048584
llama3-1_8B,gsm8k,mathematical,AP,probas-mean,0.6271268725395203
llama3-1_8B,gsm8k,mathematical,AP,probas-min,0.6299509406089783
llama3-1_8B,gsm8k,mathematical,AP,token-sar,0.6394444108009338
llama3-1_8B,gsm8k,mathematical,SE,p-true-bl,0.4908701181411743
llama3-1_8B,gsm8k,mathematical,SE,p-true-allsteps,0.5304915308952332
llama3-1_8B,gsm8k,mathematical,SE,p-true-keystep,0.507859468460083
llama3-1_8B,gsm8k,mathematical,SE,p-true-allkeywords,0.5336927771568298
llama3-1_8B,gsm8k,mathematical,SE,p-true-keykeywords,0.5303036570549011
llama3-1_8B,gsm8k,mathematical,SE,self-probing-bl,0.5376675128936768
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allsteps,0.5176674723625183
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keystep,0.5177559852600098
llama3-1_8B,gsm8k,mathematical,SE,self-probing-allkeywords,0.5219335556030273
llama3-1_8B,gsm8k,mathematical,SE,self-probing-keykeywords,0.4963262379169464
llama3-1_8B,svamp,mathematical,AP,probas-mean-bl,0.5376221537590027
llama3-1_8B,svamp,mathematical,AP,probas-min-bl,0.538680374622345
llama3-1_8B,svamp,mathematical,AP,token-sar-bl,0.5157544612884521
llama3-1_8B,svamp,mathematical,AP,probas-mean,0.6133882403373718
llama3-1_8B,svamp,mathematical,AP,probas-min,0.6116379499435425
llama3-1_8B,svamp,mathematical,AP,token-sar,0.6119366884231567
llama3-1_8B,svamp,mathematical,SE,p-true-bl,0.4809364378452301
llama3-1_8B,svamp,mathematical,SE,p-true-allsteps,0.5382469296455383
llama3-1_8B,svamp,mathematical,SE,p-true-keystep,0.5191013813018799
llama3-1_8B,svamp,mathematical,SE,p-true-allkeywords,0.47516822814941406
llama3-1_8B,svamp,mathematical,SE,p-true-keykeywords,0.4731150269508362
llama3-1_8B,svamp,mathematical,SE,self-probing-bl,0.5454941391944885
llama3-1_8B,svamp,mathematical,SE,self-probing-allsteps,0.5149508714675903
llama3-1_8B,svamp,mathematical,SE,self-probing-keystep,0.48053887486457825
llama3-1_8B,svamp,mathematical,SE,self-probing-allkeywords,0.5192801356315613
llama3-1_8B,svamp,mathematical,SE,self-probing-keykeywords,0.5104910135269165
llama3-1_8B,2WikimhQA,logical,AP,probas-min-bl,0.5088062286376953
llama3-1_8B,2WikimhQA,logical,AP,token-sar-bl,0.4823991060256958
llama3-1_8B,2WikimhQA,logical,AP,probas-mean,0.7217580080032349
llama3-1_8B,2WikimhQA,logical,AP,probas-min,0.6792169213294983
llama3-1_8B,2WikimhQA,logical,AP,token-sar,0.7347190380096436
llama3-1_8B,2WikimhQA,logical,SE,p-true-bl,0.5258796215057373
llama3-1_8B,2WikimhQA,logical,SE,p-true-allsteps,0.45252251625061035
llama3-1_8B,2WikimhQA,logical,SE,p-true-keystep,0.5165650844573975
llama3-1_8B,2WikimhQA,logical,SE,p-true-allkeywords,0.5065382719039917
llama3-1_8B,2WikimhQA,logical,SE,p-true-keykeywords,0.5070503950119019
llama3-1_8B,2WikimhQA,logical,SE,self-probing-bl,0.5563732385635376
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allsteps,0.5025259852409363
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keystep,0.5312675833702087
llama3-1_8B,2WikimhQA,logical,SE,self-probing-allkeywords,0.5260423421859741
llama3-1_8B,2WikimhQA,logical,SE,self-probing-keykeywords,0.4767310321331024
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean-bl,0.5280070304870605
llama3-1_8B,hotpotQA,mathematical,AP,probas-min-bl,0.5339491963386536
llama3-1_8B,hotpotQA,mathematical,AP,token-sar-bl,0.4966844320297241
llama3-1_8B,hotpotQA,mathematical,AP,probas-mean,0.6190199851989746
llama3-1_8B,hotpotQA,mathematical,AP,probas-min,0.6451025605201721
llama3-1_8B,hotpotQA,mathematical,AP,token-sar,0.6087177395820618
llama3-1_8B,hotpotQA,mathematical,SE,p-true-bl,0.5788310766220093
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allsteps,0.515130877494812
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keystep,0.5594434142112732
llama3-1_8B,hotpotQA,mathematical,SE,p-true-allkeywords,0.5896410346031189
llama3-1_8B,hotpotQA,mathematical,SE,p-true-keykeywords,0.5908580422401428
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-bl,0.5440637469291687
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-allsteps,0.5340681672096252
llama3-1_8B,hotpotQA,mathematical,SE,self-probing-keystep,0.5348607897758484
